Cell,Site,contra,AltFreq,AltPos,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,a0,a0.1,a0.2,a0.3,a0.4,a0.5,a0.6,a0.7,a0.8,a0.9,a1,NA,NA.1,NA.2,NA.3,NA.4,NA.5,NA.6,NA.7,NA.8,NA.10,NA.11,NA.12,NA.13,NA.14
PSIC092910Loc_DoubleSound,0,1,609,6,0.385523299,0.374054546,0.041959364,0.198462791,Mixture,0.385523299,0.09,0.08,0.09,0.09,0.08,0.09,0.1,0.09,0.09,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC093010Loc_DoubleSound,0,1,903,-24,0.840323369,0.141809808,4.62E-06,0.017862201,Mixture,0.840323369,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.08,0.09,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC093010Loc_DoubleSound,0,1,903,24,0.215965395,0.28387051,0.001058252,0.499105843,Single,0.499105843,0.11,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC093010Loc_DoubleSound,0,1,903,-6,0.224954741,0.376304716,0.108212754,0.290527789,Average,0.376304716,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100510Loc_DoubleSound,0,1,903,-24,0.118327406,0.603143662,0.000185585,0.278343347,Average,0.603143662,0.09,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100510Loc_DoubleSound,0,1,903,24,0.189508706,0.428904791,0.093161539,0.288424964,Average,0.428904791,0.07,0.08,0.08,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100510Loc_DoubleSound,0,1,1100,24,0.230634958,0.384343311,0.083290641,0.30173109,Average,0.384343311,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100610Loc_DoubleSound,0,1,903,-24,0.317793981,0.647554731,0.003965386,0.030685902,Average,0.647554731,0.07,0.08,0.09,0.09,0.09,0.11,0.09,0.09,0.1,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100610Loc_DoubleSound,0,1,1100,6,0.507623737,0.393012138,0.005039669,0.094324456,Mixture,0.507623737,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100610Loc_DoubleSound,0,1,609,6,0.169678963,0.286921369,0.150793025,0.392606643,Single,0.392606643,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100710Loc_DoubleSound,0,1,903,6,0.212200903,0.45161655,0.010724528,0.325458019,Average,0.45161655,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100810Loc_DoubleSound,0,1,500,6,0.313073868,0.429550435,0.042654772,0.214720925,Average,0.429550435,0.08,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC100810Loc_DoubleSound,0,1,609,6,0.191560666,0.308865082,0.113818441,0.385755811,Single,0.385755811,0.11,0.1,0.1,0.11,0.09,0.09,0.08,0.09,0.08,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
